word|function|count
ὁ|subj|186
ὅς|subj|168
ἐγώ|subj|123
σύ|subj|92
τις|subj|84
ἀνήρ|subj|72
θεός|subj|60
θυμός|subj|56
Ἀχαιός|subj|54
Ὀδυσσεύς|subj|53
Ζεύς|subj|45
Ἕκτωρ|subj|42
Ἀχιλλεύς|subj|38
υἱός|subj|37
Ἀθήνη|subj|33
πᾶς|subj|33
πατήρ|subj|32
Τρώς|subj|31
ἄλλος|subj|31
αὐτός|subj|30
ἑταῖρος|subj|29
λαός|subj|29
Ἀπόλλων|subj|28
μήτηρ|subj|28
παῖς|subj|26
ὅδε|subj|24
κύων|subj|22
ἵππος|subj|22
ναῦς|subj|21
μένος|subj|21
ἐκεῖνος|subj|21
πολύς|subj|21
Αἴας|subj|20
ὅσος|subj|20
Πάτροκλος|subj|20
γέρων|subj|20
Ἄρης|subj|19
γυνή|subj|19
Τηλέμαχος|subj|19
μνηστήρ|subj|18
ἠώς|subj|18
Ἥρα|subj|18
ἦτορ|subj|18
ξένος|subj|17
οὗτος|subj|17
ἠέλιος|subj|16
Ἀγαμέμνων|subj|16
Μενέλαος|subj|16
ἄλοχος|subj|15
ἄριστος|subj|15
Ποσειδεών|subj|15
μιν|subj|15
κεῖνος|subj|14
δαίμων|subj|14
ὕπνος|subj|13
ὅστις|subj|13
πόλεμος|subj|13
ἄχος|subj|13
Πρίαμος|subj|12
Ἀτρείδης|subj|12
κλέος|subj|12
καρδία|subj|12
λέων|subj|12
ψυχή|subj|11
κῦμα|subj|11
γαῖα|subj|11
χείρ|subj|11
ἔργον|subj|11
νόος|subj|11
Τυδείδης|subj|11
|subj|10
Ἀργεῖος|subj|10
φρήν|subj|10
νύξ|subj|10
χόλος|subj|10
Κρονίων|subj|10
δόρυ|subj|10
τέλος|subj|10
βροτός|subj|10
Μηριόνης|subj|9
θεά|subj|9
πόλις|subj|9
Πηλεύς|subj|9
πόνος|subj|9
δμωή|subj|9
Νέστωρ|subj|9
χρώς|subj|9
τεῦχος|subj|9
αἷμα|subj|9
βία|subj|9
κῆρ|subj|9
κάματος|subj|9
ἅπας|subj|9
Ἄρτεμις|subj|9
Ἐννοσίγαιος|subj|9
κακός|subj|9
αἰχμή|subj|8
γυῖον|subj|8
Ἰδομενεύς|subj|8
βασιλεύς|subj|8
μοῖρα|subj|8
ἕ|subj|8
Αἰνείας|subj|8
χαλκός|subj|8
ἄναξ|subj|8
φόβος|subj|8
Ἀντίλοχος|subj|8
ἔτος|subj|8
κῆδος|subj|8
νεῖκος|subj|8
θύελλα|subj|8
ἦμαρ|subj|8
κῆρυξ|subj|8
Ἶρις|subj|8
βοῦς|subj|7
Ἀλέξανδρος|subj|7
Πουλυδάμας|subj|7
φάλαγξ|subj|7
Βορέας|subj|7
κτῆμα|subj|7
δῶμα|subj|7
ἀμφίπολος|subj|7
ὗς|subj|7
ἕκαστος|subj|7
ἀθάνατος|subj|7
καπνός|subj|7
γενεά|subj|7
ἀοιδός|subj|7
πῦρ|subj|7
θεράπων|subj|7
κόρη|subj|7
Δαναοί|subj|7
πούς|subj|7
νόστος|subj|7
ὥρα|subj|7
ἄνεμος|subj|7
Ἥφαιστος|subj|7
ποιμήν|subj|7
Ἀφροδίτη|subj|7
