word|function|count
ὁ|subj|1003
ὅς|subj|838
ἐγώ|subj|629
τις|subj|448
σύ|subj|427
Ὀδυσσεύς|subj|339
ἀνήρ|subj|336
θεός|subj|313
Ἀχαιός|subj|276
Ἀχιλλεύς|subj|275
Ζεύς|subj|259
θυμός|subj|248
Ἕκτωρ|subj|233
Ἀθήνη|subj|206
υἱός|subj|205
Τρώς|subj|194
Ἀπόλλων|subj|168
ἵππος|subj|156
ἑταῖρος|subj|148
Αἴας|subj|146
ἄλλος|subj|146
πᾶς|subj|142
μήτηρ|subj|138
λαός|subj|135
πατήρ|subj|133
Ἀγαμέμνων|subj|132
Μενέλαος|subj|130
παῖς|subj|130
ὅσος|subj|123
κῦμα|subj|118
αὐτός|subj|113
Τηλέμαχος|subj|111
ναῦς|subj|110
γέρων|subj|109
μένος|subj|103
Ποσειδεών|subj|102
κύων|subj|101
γυνή|subj|101
ἦτορ|subj|101
Ἥρα|subj|98
ἠώς|subj|95
ὕπνος|subj|95
ὅδε|subj|94
Κρονίων|subj|93
δαίμων|subj|92
οὗτος|subj|90
ἐκεῖνος|subj|89
Ἀργεῖος|subj|87
μιν|subj|83
ἔργον|subj|82
πολύς|subj|82
Πάτροκλος|subj|81
Ἄρης|subj|81
ἄριστος|subj|79
λέων|subj|79
Ἀτρείδης|subj|79
ξένος|subj|78
ἄχος|subj|77
μνηστήρ|subj|74
κεῖνος|subj|73
Πρίαμος|subj|70
καρδία|subj|69
ἠέλιος|subj|67
Ἀντίλοχος|subj|66
γαῖα|subj|64
τεῦχος|subj|59
Ἰδομενεύς|subj|59
ἄνεμος|subj|58
συβώτης|subj|58
δόρυ|subj|57
νόος|subj|57
κῆρυξ|subj|56
Νέστωρ|subj|55
νύξ|subj|54
κῆρ|subj|54
Ἥφαιστος|subj|54
Μηριόνης|subj|54
Τυδείδης|subj|54
Ἐπειός|subj|54
χαλκός|subj|53
Αἰνείας|subj|53
ἄλοχος|subj|52
ψυχή|subj|52
Διομήδης|subj|52
θεά|subj|51
ὕδωρ|subj|51
αἷμα|subj|51
γυῖον|subj|51
βέλος|subj|50
γόνυ|subj|50
θεράπων|subj|50
ποταμός|subj|50
ἔγχος|subj|49
βροτός|subj|48
|subj|48
πῦρ|subj|48
πόλις|subj|48
κλέος|subj|47
χείρ|subj|47
ἕκαστος|subj|47
μοῖρα|subj|46
Πηλείδης|subj|46
ἄναξ|subj|44
ἕ|subj|44
Ἑρμῆς|subj|43
χόλος|subj|43
νέος|subj|43
Θέτις|subj|42
ἦμαρ|subj|42
δμωή|subj|42
Ἀφροδίτη|subj|41
Πηνελόπεια|subj|41
φρήν|subj|40
Ἶρις|subj|40
ὕλη|subj|40
Δαναοί|subj|40
Πηλεύς|subj|40
Κρονίδης|subj|39
ὀιστός|subj|39
ὅστις|subj|39
ὗς|subj|39
βία|subj|39
Ἄρτεμις|subj|38
ἥρως|subj|38
Φαίαξ|subj|38
πόσις|subj|38
πόλεμος|subj|37
Ἀλέξανδρος|subj|37
ὄσσε|subj|37
βασιλεύς|subj|36
ὥρα|subj|36
ἴς|subj|36
τεῖχος|subj|35
θύελλα|subj|35
ἀθάνατος|subj|35
ἀοιδός|subj|35
γραῦς|subj|35
ἕτερος|subj|35
θάλασσα|subj|35
Ἀλκίνοος|subj|35
εἰμί|subj|34
ἅπας|subj|34
Ἐννοσίγαιος|subj|34
αἰχμή|subj|34
Κίρκη|subj|33
ἀμφίπολος|subj|32
πέτρα|subj|32
χρώς|subj|32
ἔρις|subj|31
ἄμφω|subj|31
Τεῦκρος|subj|31
χρεώ|subj|30
γῆρας|subj|30
Ὀλύμπιος|subj|30
ἀλκή|subj|30
οἷος|subj|30
γεραιός|subj|29
πούς|subj|29
νεῖκος|subj|29
οἶνος|subj|29
Λαέρτης|subj|29
μῦθος|subj|29
μάχομαι|subj|29
βοῦς|subj|28
θάνατος|subj|28
κακός|subj|28
Κύκλωψ|subj|28
πόνος|subj|28
νέφος|subj|28
ἄελλα|subj|27
κάρα|subj|27
ἰός|subj|27
θυγάτηρ|subj|27
χθών|subj|27
οὐρανός|subj|27
κοῦρος|subj|26
ἀσπίς|subj|26
κόρη|subj|26
φόβος|subj|26
ἱκνέομαι|subj|26
δέος|subj|26
Μυρμιδόνες|subj|26
ἔτος|subj|26
ἄνθρωπος|subj|26
Νότος|subj|26
ἀετός|subj|26
εὐνή|subj|26
Αἴγισθος|subj|25
ἀγορά|subj|25
τρόμος|subj|25
ποιμήν|subj|25
μάχη|subj|25
αἰών|subj|24
κῆδος|subj|24
φώς|subj|24
κόρυς|subj|24
δμώς|subj|24
δῖος|subj|24
Αὐτομέδων|subj|24
ἄλγος|subj|24
νύμφη|subj|23
ἔπος|subj|23
πένθος|subj|23
μείς|subj|23
Ἐνοσίχθων|subj|23
Ἑλένη|subj|23
ἄρουρα|subj|23
ἐπίκουρος|subj|23
τέλος|subj|22
ἀυτή|subj|22
Σαρπηδών|subj|22
φάος|subj|22
νόστος|subj|22
Πουλυδάμας|subj|22
φωνή|subj|22
δῶμα|subj|22
μῆλον|subj|22
καπνός|subj|22
Ἀντίνοος|subj|22
Ἀρήτη|subj|22
οἶκος|subj|21
Ἀργειφόντης|subj|21
ὄμβρος|subj|21
θέμις|subj|21
ἀστήρ|subj|21
Δηίφοβος|subj|21
βουλή|subj|21
κόρος|subj|21
κήρ|subj|21
οἰωνός|subj|20
ὄλεθρος|subj|20
ἵμερος|subj|20
ὁπότερος|subj|20
σθένος|subj|20
ἀμφότερος|subj|20
οὖρος|subj|20
κάματος|subj|20
τόξον|subj|20
ἔθνος|subj|20
ὄρνις|subj|20
ἰαχή|subj|19
φάλαγξ|subj|19
Ζέφυρος|subj|19
ἡγήτωρ|subj|19
ἡνίοχος|subj|19
γενεά|subj|19
δάκρυον|subj|19
Εὖρος|subj|19
Μοῦσα|subj|18
δένδρεον|subj|18
πόντος|subj|18
ἀκωκή|subj|18
νεκρός|subj|18
ἀυτμή|subj|18
τάφρος|subj|17
Εὐρυνόμη|subj|17
αὐγή|subj|17
δόμος|subj|17
δῶρον|subj|17
λύκος|subj|17
πύλη|subj|17
ἡμέρα|subj|17
κνέφας|subj|17
ὄσσα|subj|17
ποθή|subj|17
ἔχω|subj|17
τέκτων|subj|17
ταμία|subj|17
ἐγκέφαλος|subj|17
ἱππεύς|subj|17
Ἴλιος|subj|17
αἶσα|subj|17
ῥεῖθρον|subj|17
Ἄσιος|subj|16
Μέντωρ|subj|16
θώραξ|subj|16
κόμπος|subj|16
σέλας|subj|16
Τληπόλεμος|subj|16
φλόξ|subj|16
ὑφορβός|subj|16
ἰχθύς|subj|16
μέδων|subj|16
φῦλον|subj|16
κασίγνητος|subj|16
Ἰδαῖος|subj|15
θνήσκω|subj|15
ῥινός|subj|15
Χείρων|subj|15
βίοτος|subj|15
χῶρος|subj|15
πύργος|subj|15
ἄτη|subj|15
Ἀμφίνομος|subj|15
κράτος|subj|15
θρίξ|subj|15
βωμός|subj|15
ἀνάγκη|subj|15
ὀστέον|subj|15
Λύκιοι|subj|15
Πάρις|subj|15
ἱδρώς|subj|15
ὅμιλος|subj|15
γάμος|subj|15
ὁδός|subj|15
ὀδύνη|subj|14
βιός|subj|14
Γλαῦκος|subj|14
Εὐρύλοχος|subj|14
γένος|subj|14
κτῆμα|subj|14
σκότος|subj|14
εἷμα|subj|14
ὅρκιον|subj|14
ὄρος|subj|14
μῆτις|subj|14
ἐνιαυτός|subj|14
ἀκτή|subj|14
ἄστρον|subj|14
Βορέας|subj|14
Σκάμανδρος|subj|14
κεφαλή|subj|14
δῆμος|subj|14
ἅρμα|subj|13
χαίτη|subj|13
λίς|subj|13
ὀφθαλμός|subj|13
δράκων|subj|13
βασίλεια|subj|13
Ἀγήνωρ|subj|13
φιλότης|subj|13
φεύγω|subj|13
δεσμός|subj|13
ὁδίτης|subj|13
νεβρός|subj|13
πτωχός|subj|13
πλεῖστος|subj|13
ἔτης|subj|13
θάλαμος|subj|13
Ἐρινύς|subj|13
Καλυψώ|subj|13
ἡνία|subj|13
τρυφάλεια|subj|13
ταῦρος|subj|12
ἕκτωρ|subj|12
γῆ|subj|12
σκέπας|subj|12
Ἀμφιτρίτη|subj|12
σανίς|subj|12
μῆνις|subj|12
Περσεφόνεια|subj|12
Σκύλλα|subj|12
ἀρετή|subj|12
Μενοίτιος|subj|12
λόφος|subj|12
λουτρόν|subj|12
ἄγγελος|subj|12
τράπεζα|subj|12
Νηλεύς|subj|12
σῆμα|subj|12
Ἶρος|subj|12
Μέγης|subj|12
στήλη|subj|12
σάκος|subj|12
ῥόος|subj|12
ἀμφιγύεις|subj|12
στίξ|subj|12
ὀσμή|subj|12
Πηνέλεως|subj|12
λιμός|subj|12
ἤκεστος|subj|12
ἀφρός|subj|12
νέμεσις|subj|12
Λητώ|subj|12
Δολίος|subj|12
οἰνοχόος|subj|12
κομιδή|subj|11
ὅμαδος|subj|11
ἀγός|subj|11
νόημα|subj|11
φόνος|subj|11
οὐδός|subj|11
ἐγχείη|subj|11
ἀρνός|subj|11
