verb|subjects|objects
ἐφάλλομαι|Ἁρπαλίων,ὁ,υἱός,ὁ,Αἴας,Αἴας,ἐγχείη,Δηίφοβος,Μηριόνης,τρυφάλεια,Μηριόνης,αἰγυπιός,Αἴας,,ὁ,ἀλκή,φυγή,θυμός,ὁ|ἕ,πατήρ,γαῖα,ἔγχος,Ἀστεροπαῖος,κατακτείνω,Ἰφίνοος,ἵππος,ὦμος,Δηιοπίτης,ὦμος,Θόων,Ἔννομος,Τρώς,Πάνδοκος,Λύσανδρος,Πύρασος,Πυλάρτης,ἀσπίς,μιν,Ἀσκάλαφος,πήληξ,Ἄρης,βραχίων,χείρ,χαμαί,βραχίων,ἔγχος,ἄψ,ἔθνος,ἀσπίς,μιν,νέφος,ὁ,ἀνήρ,κακός,δυσμενής,ἐγώ,θάνατος,εἴκω
σίνομαι|Ἀχιλλεύς,αἰδώς,ὅς,Ἀθήνη,ὅς,ὅς|ἔλεος,ἀνήρ,ὁ,Χάρυβδις,ἑταῖρος,ὄλεθρος,ὄλεθρος,δῆμος,πόλις,Ὑπέρεια,σφεῖς
κατέρχομαι|Ἀργεῖος,τις,φρήν,πᾶς,Ἀχαιός,Ἄρης,ψυχή,ἐγώ,ὅς,αὐχήν,ψυχή,πατήρ,αὐχήν,ψυχή,ὁ,θάλασσα,θάλασσα,βοῦς,πομπεύς,νύξ,ὅς,νύξ|φόνος,οὐρανός,τρώς,κατέρχομαι,ἐκεῖνος,Ἀΐδης,ὀιζύς,ἐκλανθάνω,μάχη,τις,αἷμα,Σκάμανδρος,Αἵδης,ναῦς,ἑταῖρος,ἐγώ,ἀστράγαλος,Ἀι,Ἄι,κατέρχομαι,πόλινδε,ἀστράγαλος,Ἀϊδόσδε,κορυφή,ναῦς,οἰήιον,ἱκνέομαι,πέτρα,πέτρα,πόντος,ἄνθρωπος,Τεμέση,χαλκός,σίδηρος,ναῦς,θάλασσα,ἄλλος,μῆχος,εὑρίσκω,ναῦς,θάλασσα,ναῦς,ναῦς,θάλασσα,ἑταῖρος,κατέρχομαι,δῶμα,Ὀδυσσεύς,Ἴλιος,ἕπομαι,ναῦς,θάλασσα,δόρπον,ναῦς,θάλασσα,βένθος,ἱστός,ἱστίον,ναῦς,ἐρετμόν,τροπός,πᾶς,ναῦς,θάλασσα,ἅλς,ἱστός,ἱστίον,ναῦς,μῆλον,δάκρυον,ναῦς,θάλασσα,δόρπον,ῥηγμίν
μεταδαίνυμαι|ἐγώ,πατήρ,|ῥεῖθρον,γαῖα,ἑκατόμβη,ἀθάνατος,ἱρός,ἐγώ,ἐγώ,μίγνυμι
σκέπτομαι|ἑταῖρος,ὁ|εἶδον,Ἀχιλλεύς,εἶπον,ὄλλυμι,ἀσπίς,ὦμος,ῥοῖζος,δοῦπος,ναῦς,ἑταῖρος,πούς,χείρ
ἀμφαγείρομαι|θεά,Νηρηίς|μιν
ἀποδατέομαι|ὅς,Αἴας,ἐγώ,ἐγώ,ὅσος,Ἀλέξανδρος,ὅς,πόλις|Πάτροκλος,Τρώς,ὁ,ἥμισυς,ὁ,σύ,ἐπέοικε,ἀσπίς,κόρυς,δόρυ,τεῖχος,Ἀχιλλεύς,ἕ,Ἑλένη,κτῆμα,πᾶς,ὅσος,Τροίανδε,δίδωμι,Ἀτρείδης,ἄγω,Ἀχαιός,ἄλλος,ἀποδατέομαι,ὅσος
προκαλίζομαι|Τυδεύς,ὁ,ὁ,ὁ,Ἀπόλλων|δόρυ,χαλκός,ἄριστος,μάχομαι,ἀθλεύω,πᾶς,θυμός,κοῦρος,τεῦχος,ἄριστος,μιν,τοξάζομαι,ἐγώ,σύ,στῆθος,χεῖλος,αἷμα
προσδέχομαι|Πηλεύς,τις,ἄλοχος,τέκνον,Ἰδαῖος,ὅς,ὁ,παράκοιτις,ὁ,ὁ,ἐγώ,ὀπυίω,ἑταῖρος,τόξον,θνήσκω,ξένος,ὅδε,ναῦς,ἑταῖρος|θνήσκω,ἀχεύω,ἀγγελία,ἀποφθίνω,πονέω,ὄκνος,ἀφραδία,ἐγώ,ὁρμή,ὀτρυντύς,ἔρχομαι,ἀπαγγέλλω,μῦθος,Δαναοί,τόσος,Τηλέμαχος,οἶκος,δῶρον,τις,μιν,εἶπον,μέγαρον,φόνος,ἄλλος,ὅς,ἕκαστος,ὁρμή,ἀριστεύς,θυμός,ψυχή,ὁμιλέω,σῖτος,ἐπιχειρέω,μέγαρον,σύ,ἐσχάρα,μῦθος,νῆσος,ἐγώ,ναῦς,ἔνθα,ψάμαθος,ῥηγμίν
λιάζομαι|κῦμα,Πουλυδάμας,πόνος,ὅς,σύ,ὁ,ὁ,Πηλείδης,ὕπνος,Ἀχιλλεύς,αἰχμή,νεφέλη,Ἕκτωρ,ἀχλύς,ὄρνις,πτερόν,ὁ,ὁ|ὅς,ἄστυ,δεῦρο,κῦδος,πόλις,ναῦς,στεροπή,ὄλλυμι,ὄλλυμι,ὁ,πυρκαιά,ἑτέρωσε,θίς,πόντος,μιν,ἕ,ἔντερον,Πολύδωρος,ἔντερον,γαῖα,ὀφθαλμός,ἱστός,αὐχήν,κλείς,πνοή,ποταμός,σχοῖνος,ἄρουρα
