verb|subjects|objects
ἐφάλλομαι|Ἁρπαλίων,ὁ,υἱός,ὁ,Αἴας,Αἴας,ἐγχείη,Δηίφοβος,Μηριόνης,τρυφάλεια,Μηριόνης,αἰγυπιός,Αἴας|ἕ,πατήρ,γαῖα,ἔγχος,Ἀστεροπαῖος,κατακτείνω,Ἰφίνοος,ἵππος,ὦμος,Δηιοπίτης,ὦμος,Θόων,Ἔννομος,Τρώς,Πάνδοκος,Λύσανδρος,Πύρασος,Πυλάρτης,ἀσπίς,μιν,Ἀσκάλαφος,πήληξ,Ἄρης,βραχίων,χείρ,χαμαί,βραχίων,ἔγχος,ἄψ,ἔθνος,ἀσπίς
σίνομαι|Ἀχιλλεύς,αἰδώς,ὅς|ἔλεος,ἀνήρ
κατέρχομαι|Ἀργεῖος,τις,φρήν,πᾶς,Ἀχαιός,Ἄρης,ψυχή|φόνος,οὐρανός,τρώς,κατέρχομαι,ἐκεῖνος,Ἀΐδης,ὀιζύς,ἐκλανθάνω,μάχη,τις,αἷμα,Σκάμανδρος,Αἵδης
μεταδαίνυμαι|ἐγώ,πατήρ|ῥεῖθρον,γαῖα,ἑκατόμβη,ἀθάνατος,ἱρός,ἐγώ
σκέπτομαι|ἑταῖρος,ὁ|εἶδον,Ἀχιλλεύς,εἶπον,ὄλλυμι,ἀσπίς,ὦμος,ῥοῖζος,δοῦπος
ἀμφαγείρομαι|θεά,Νηρηίς|μιν
ἀποδατέομαι|ὅς,Αἴας,ἐγώ,ἐγώ,ὅσος,Ἀλέξανδρος,ὅς,πόλις|Πάτροκλος,Τρώς,ὁ,ἥμισυς,ὁ,σύ,ἐπέοικε,ἀσπίς,κόρυς,δόρυ,τεῖχος,Ἀχιλλεύς,ἕ,Ἑλένη,κτῆμα,πᾶς,ὅσος,Τροίανδε,δίδωμι,Ἀτρείδης,ἄγω,Ἀχαιός,ἄλλος,ἀποδατέομαι,ὅσος
προκαλίζομαι|Τυδεύς,ὁ,ὁ,ὁ|δόρυ,χαλκός,ἄριστος,μάχομαι,ἀθλεύω,πᾶς,θυμός,κοῦρος,τεῦχος,ἄριστος
προσδέχομαι|Πηλεύς,τις,ἄλοχος,τέκνον,Ἰδαῖος,ὅς|θνήσκω,ἀχεύω,ἀγγελία,ἀποφθίνω,πονέω,ὄκνος,ἀφραδία,ἐγώ,ὁρμή,ὀτρυντύς,ἔρχομαι,ἀπαγγέλλω,μῦθος,Δαναοί
λιάζομαι|κῦμα,Πουλυδάμας,πόνος,ὅς,σύ,ὁ,ὁ,Πηλείδης,ὕπνος,Ἀχιλλεύς,αἰχμή,νεφέλη,Ἕκτωρ,ἀχλύς,ὄρνις,πτερόν,ὁ|ὅς,ἄστυ,δεῦρο,κῦδος,πόλις,ναῦς,στεροπή,ὄλλυμι,ὄλλυμι,ὁ,πυρκαιά,ἑτέρωσε,θίς,πόντος,μιν,ἕ,ἔντερον,Πολύδωρος,ἔντερον,γαῖα,ὀφθαλμός,ἱστός,αὐχήν
