verb|subjects|objects
ἐφάλλομαι|Αἴας,Μηριόνης,Αἴας|Δηιοπίτης,ἀσπίς,βραχίων,ἔγχος,ἀσπίς
σίνομαι|ὅς|
κατέρχομαι||κατέρχομαι
μεταδαίνυμαι||
σκέπτομαι||
ἀμφαγείρομαι||
ἀποδατέομαι||δίδωμι,ἀποδατέομαι
προκαλίζομαι|ὁ,ὁ|
προσδέχομαι|τις,ὅς|
λιάζομαι|ὁ,Πηλείδης,Ἀχιλλεύς|ἔντερον
ληίζομαι||
εἰσέρχομαι|σύ,Πρίαμος,ὁ,σύ,Κάλχας,ὁ|ναῦς,ναῦς,λήιον,γόνυ,ὁ,θύρα,εἰσέρχομαι
ἀγαίομαι||
ἔλδομαι|ὁ|χθών
ἐπιμάσσομαι|ἰατήρ|
ἀπεχθάνομαι||ἀπεχθάνομαι,ἀπεχθάνομαι
ἐπιτοξάζομαι|Ἀχαιός|
κίνυμαι|ἀυτμή|σύ
ἀναδέρκομαι|ὁ|
περίκειμαι||
μεθάλλομαι|ὁ,Ἰδομενεύς,Αἴας,υἱός|Σάτνιος,σύ,χείρ
φθέγγομαι|Νέστωρ|Ὀδυσσεύς
ἀρνέομαι|ὁ,ἀρνέομαι|
ὄρομαι||
μεταπαύομαι||
χράομαι||μιν
ἐρέπτομαι|ἵππος,ἵππος,ἵππος|ὁ,ἠώς
ὑπέρχομαι||
περιφράζομαι||
κεῖμαι|ὁ,κεῖμαι,κεῖμαι|κεῖμαι,κεῖμαι,πούς,κεῖμαι,κεῖμαι,κεῖμαι,κεῖμαι,κεῖμαι,κεῖμαι,νίζω,ἐγώ
ἄλθομαι||
καίνυμαι||καίνυμαι
γουνόομαι||ἀνήρ,μένω
ἔγκειμαι||
ἀλαλύκτημαι||
οἰόομαι||
τάνυμαι||
συνάντομαι||
γουνάζομαι||
ἠερέθομαι||
λελίημαι||
οἴομαι|ὁ|κρατέω,ἀνάσσω,σημαίνω,γόνυ
πάομαι||
ὑποκλονέομαι|ἐγώ|ὑποκλονέομαι
ἀπέρχομαι||
ἐπιόσσομαι|ὁ|
κίδναμαι||
ἀποίχομαι||ἀποίχομαι
ἀλεόμαι|ἀλέομαι|φεύγω,ἀλέω
ἀποπέτομαι|ὁ|
δηριάομαι|τις,ἔπαλξις|δηριάομαι,δηριάομαι,ὁ
τίνυμαι||
μαίνομαι|Ἕκτωρ|μαίνομαι,μαίνομαι,μαίνομαι,Ἄρης,ἐπίσταμαι,μαίνομαι
ἐμβρέμομαι||
μαντεύομαι||μαντεύομαι
ἀμφράζομαι||
παρέρχομαι|ὅς,αἱρέω,παρέρχομαι|παρέρχομαι,ἐγώ
μήδομαι||
ἐνῆμαι||
ὀρχέομαι||
ἐκκαταπάλλομαι||
μεθορμάομαι|ἐγώ|ὁ
περιτρέφομαι||
ἀπεκλανθάνομαι||
δέχομαι|ὅς,ὁ,ἆθλον,ἐγώ,ὅς,Πάτροκλος,Ὀδυσσεύς,ὁ,ὅς,υἱός,σκοπός,Πηλεύς,ὅς,Αἴας|ἐγώ,δέχομαι,ἐγώ,δέχομαι,παῦρος,δέχομαι,δίδωμι,αἰδέομαι,δέχομαι,αἰδέομαι,δέχομαι,αὖθι,δίδωμι,ὁ,ὅς,ἀνήρ
ἐξέρχομαι|ἐγώ,ὅς|ἐξέρχομαι,ἐξέρχομαι,ἐξέρχομαι,ἀμύνω
γίγνομαι|ἀνήρ,ὁ,ἐγώ,ὅς,ὅς,Ζεύς,γίγνομαι,γίγνομαι,ἐγώ,παῖς,ἐγώ,ὅς,ὅς,ὁπότερος,νικάω,γίγνομαι,ὁπότερος,νικάω,γίγνομαι,ὅς,ὁ,τεῖχος|κέλευθος,ἱερεῖον,βοείη,γίγνομαι,τρέφω,γίγνομαι,γίγνομαι,γίγνομαι,γίγνομαι,γίγνομαι,γίγνομαι,γίγνομαι,ἐγώ,γίγνομαι,γίγνομαι,γίγνομαι,δύω,γίγνομαι,γίγνομαι,γίγνομαι,γίγνομαι,γίγνομαι,ἀνάσσω,γίγνομαι,τρέφω,γίγνομαι,πάσχω,γίγνομαι,γίγνομαι,γίγνομαι
ἐμπάζομαι||
δηλέομαι|Τρώς|δηλέομαι,Ἀχαιός,δηλέομαι
ἐποχέομαι||ἐποχέομαι
ἱλάομαι||μιν
ἐπιπέτομαι||ἐπιπέτομαι
ἕζομαι|Πηλείδης,Ἥρα,κεραμεύς,ἄλλος,ὅς,τις|αἷμα,τροχός,βουλή,ἕζομαι,ἕζομαι
περιμαιμάω||
παρατεκταίνομαι||
ἐκδέχομαι||
περικήδομαι||
ὑπαλεύομαι||
ὑπολευκαίνομαι||
ὑπερπέτομαι||
ἐπιμήδομαι||
τοξάζομαι||
ὀδύρομαι|ὁ,φάος,μήτηρ,παράκοιτις|Μελέαγρος
σέβομαι||
ὑποδάμναμαι||
οἴχομαι|θύελλα,ὁ,ἐγώ|οἴχομαι,τεῦχος,δέπας,ὅδε,μάχομαι
ἠγερέθομαι||σφεῖς,ἠγερέθομαι
