verb|forms
ἐφάλλομαι|ἐπᾶλτο,ἐπιάλμενος,ἐπιάλμενον,ἐπάλμενοι,ἐπάλμενος
σίνομαι|σίνοιτό,σίνηαι,σινέσκοντο,σίνεται
κατέρχομαι|κατελεύσομαι,κατῆλθεν,κατελθέμεν,κατέρχεται,κατῆλθε,κατερχομένης,κατήλυθον,κατελθόντ̓,κατήλθομεν,κατῆλθον
μεταδαίνυμαι|μεταδαίσομαι,μεταδαίνυται,μεταδαίσεται
σκέπτομαι|σκεψάμενος,σκέπτεο,σκέπτετ̓
ἀμφαγείρομαι|ἀμφαγέροντο
ἀποδατέομαι|ἀποδάσσομαι,ἀποδάσσεσθαι
προκαλίζομαι|προκαλίζετο,προκαλίζεο
προσδέχομαι|ποτιδέγμενον,ποτιδέγμενος,ποτιδέγμεναι,ποτιδεγμένω,ποτιδέγμενοι
λιάζομαι|λιάζετο,λιάσθη,λιάσθης,λιασθεὶς,λιασθείς,λιαζόμενον,λίασθεν,ἐλιάσθη
ληίζομαι|ληίσσατο,ληΐσσατο,ληΐσσομαι
εἰσέρχομαι|εἰσήλυθον,εἰσῆλθε,ἐσελεύσομαι,εἰσήλυθεν,ἐσέρχονται,ἔσελθε,εἰσελθών,εἰσελθὼν,εἰσέλθῃσι,ἐσέλθετε,εἴσελθε,ἐσέρχεται,εἰσελθοῦσα,εἰσῆλθεν,εἰσῆλθ̓,ἐσελθεῖν,εἰσῆλθον,εἰσέρχεο
ἀγαίομαι|ἀγαιομένου
ἔλδομαι|ἐελδομένοισι,ἐελδόμενος,ἐελδομένοισιν,ἔλδεται,ἔλδεαι,ἐέλδεαι,ἐέλδομαι,ἐέλδεται,ἐελδέσθω,ἐελδομένῳ,ἐέλδετο,ἐλδόμεναι,ἐελδόμενός
ἐπιμάσσομαι|ἐπιμάσσεται
ἀπεχθάνομαι|ἀπέχθηαι,ἀπεχθέσθαι,ἀπεχθάνεαι,ἀπεχθομένοισί,ἀπήχθετο
ἐπιτοξάζομαι|ἐπετοξάζοντο
κίνυμαι|κίνυντο,κινυμένοιο,κινύμενος,κινυμένων
ἀναδέρκομαι|ἀνέδρακεν
περίκειμαι|περικείμενον,περίκειτο,περίκειται
μεθάλλομαι|μετάλμενος
φθέγγομαι|φθέγξατ̓,φθέγγεο,φθέγξομ̓,φθεγξάμενός,φθέγξατο,φθεγξάμενος,φθεγγομένου,φθεγγώμεθα,φθεγξαμένη,φθεγξαμένου,φθέγγοντο
ἀρνέομαι|ἠρνεῖτο,ἀρνείσθω,ἀρνήσασθαι,ἀρνεῖται,ἀρνήσαιο
ὄρομαι|ὄρονται,ὄροιτο,ὄροντο
μεταπαύομαι|μεταπαυόμενοι
χράομαι|χρεώμενος
ἐρέπτομαι|ἐρεπτομένους,ἐρεπτόμενοι
ὑπέρχομαι|ὑπήλθετε,ὑπήλυθε,ὑπέλθῃ
περιφράζομαι|περιφραζώμεθα
