verb|subjects|objects
μέλλω|αἰτιάομαι,μήτηρ,ὅς,οὗτος,εἰμί,ἀπόλλυμι,Ἀχαιός,ἀπόλλυμι,Ἀχαιός,βροτός,ὅς,ὅς,τις,ὅς,ἄριστος,Ἀχαιός,Ἀχαιός,Ποσειδεών,Ἀπόλλων,θυμός,ὅς,Ἀργεῖος,Αἴας,Ἀθήνη,ὄνθος,Ἀχιλλεύς,ὁ,αἰών,ἐγώ,Ἀθήνη,τις,ὁ,ὁ,Κρονίδης,τάφρος,τεῖχος,Ἄσιος,Πάτροκλος,Ἥρα,Ἀλκμήνη,θεός,ὅς,ὁ,ὅς,ὅς,πατήρ,ὁ,Ἀπόλλων,Ἀπόλλων,ἅρμα,ἵππος,σύ,ἐγώ,ὅς,ἐγώ,θεός,κραταιίς,Ἑρμῆς,ἥβη,σύ,ἐγώ,ὅς,ἄλλος,Ἀχαιός,υἱός,Ποσειδεών,ὅς,κῦμα,ἄλλος,θεά,ἀνήρ,ὁ,δαίμων,ὅς,θύελλα,Θυέστης,Αἴγισθος,Ὀδυσσεύς,ὅς,Ὀδυσσεύς,ἔργον,Ὀδυσσεύς,μοῖρα,τις,ὅς,ὁ,κῆδος,ἄχος,ὁ,ἄγαλμα,τέλος,ἄλοχος,σύ,κύων,οἰωνός,ψυχή,οἶκος,ἀνήρ,θεός,ὅς,λαός,κῆδος,μοχλός,ἐγώ,ἑταῖρος,ὅς,ὅς|ἄω,κύων,ἀναίτιος,ἐρωέω,πόλεμος,ἐγώ,ἀπεχθάνομαι,Ζεύς,ἐγώ,σύ,ἐγώ,εἰμί,Κρονίων,εἰμί,τελέω,μῆδος,εἰμί,κάρηνον,ὄλλυμι,Ζεύς,εἰμί,κάρηνον,στρατός,ναῦς,βουλεύω,παλίωξις,τίθημι,Δαναοί,κῦδος,ὀρέγω,ὁ,ἄπειμι,Τροία,ἀναπλέω,τρίπους,θέω,τίθημι,αὐτός,κτείνω,ἐλαύνω,ἵππος,νέομαι,Αὐτομέδων,ἑταῖρος,ἐπαμύνω,ὁ,ὁ,τελέω,μιμνήσκω,Φιλοκτήτης,σύ,πείθω,ἐπαίσσω,ἆθλον,ὅς,ἐγώ,ὀνίνημι,ἐγώ,οἶκος,γαῖα,εὐφραίνω,ἄλοχος,υἱός,μίγνυμι,φύλαξ,ναῦς,μένος,Τυδείδης,βάλλω,μιν,γένειον,λίσσομαι,αὐχήν,τένων,κυδοιμός,ἔρσα,αἰθήρ,κεφαλή,Ἀΐδης,προιάπτω,ἔχω,ὁ,τάφρος,αὖθι,λιπάω,ἵππος,θεράπων,ναῦς,κήρ,ἵππος,ὄχος,ἀπονοστέω,Ἴλιος,ψιάς,ἔραζε,παῖς,ὁ,φθίω,ὁ,βία,τίκτω,μιν,χείρ,πέμπω,νέομαι,μόρος,φθίω,μιν,ναῦς,δίδωμι,θεράπων,πύλη,ἄστυ,ὁ,διέξειμι,πεδίον,Θήβη,ἀνήρ,στρέφω,γυνή,ναῦς,Ἕκτωρ,μῦθος,ἀποφέρω,πόλις,τεῖχος,ἱκνέομαι,κορυφή,οὐρανόθεν,εἰμί,ἕ,θάνατος,κήρ,λίσσομαι,τίθημι,ἄλγος,στοναχή,Τρώς,Δαναοί,ὁ,ἀνίστημι,Τρώς,γόνυ,ἕ,ὁμηλικία,ὁ,πείθω,σύ,ὅς,εὔχομαι,δοῦπος,σύ,ὅς,εὔχομαι,δοῦπος,ἀφαιρέω,ἆθλον,πόλεμος,εἰμί,σύ,μάχη,ὁ,ἀκούω,σύ,κατερύκω,μέλλω,ἀθάνατος,ἀλιταίνω,οὐρανός,ἐγώ,εἰμί,ὄλβος,ὀπάζω,ἄκρον,ὑπερβάλλω,βῆσσα,ἱκνέομαι,δῶμα,ἐγώ,φθίω,οἶτος,ἐγώ,ἕκαστος,εἰμί,ἀτάσθαλος,βία,κάρτος,πᾶς,ξένος,μέλλω,ἔρομαι,θυμός,τελέω,μέλλω,φαρέτρα,ὁ,πειράω,φιλότης,εὐνή,μιν,ἄγω,οἶκόνδε,πατρίς,μέλλω,σύνειμι,ὀιζύς,ὁ,ἐγώ,ἄνεμος,κέλευθος,θάλασσα,φέρω,οἷος,τίθημι,ἄλεισον,ἀναιρέω,χείρ,οἶνος,κελεύω,σύ,Τρώς,κῦδος,ὀρέγω,ὄρος,ἱκνέομαι,μιν,πόντος,ἐσχατιά,δῶμα,οἶκόνδε,νέομαι,ἡμίονος,εἷμα,κόρη,ἕ,πόλις,κόρη,μίγνυμι,πόλις,δύω,ἕ,νεᾶνις,κάλπις,σύ,κιχάνω,ξένος,ἔσθω,ἐκτελέω,οὐδός,προίξ,γεύω,ὀιστός,γεύω,ὅς,ἑταῖρος,σύ,παρίστημι,ὁ,τίνω,φόνος,ἀπονοστέω,πότμος,ἐφέπω,λαός,ἐρύκω,ῥέζω,ἑκατόμβη,χόλος,πείθω,μέλλω,ὁ,εἰμί,ἐγώ,ζώω,θνήσκω,σφεῖς,δόρυ,πέτρα,ἄκρα,εἰμί,τελευτάω,εἰμί,ἀράομαι,ἐγώ,γίγνομαι,σύ,ἕπομαι,τέκνον,τίκτω,οἶδα,ῥινόν,ὀστέον,ἐρύω,τις,ἀπαλέξω,κακότης,εἰμί,οὗτος,ἐγώ,εἰμί,ὁ,ἄγαμαι,ἐκεῖνος,ἐκεῖσε,ἐγώ,εἰμί,ἅπτω,πῦρ,λανθάνω,ἐγώ,χόλος,λήγω,ἀπάτη,μῦθος,σύ,ἑταῖρος,ἔδω,πατήρ,ὅδε,ἀκούω,πολύς,οἶκος,ἐσθλός
ἀμφιπολεύω|κεῖνος,κλέος,ἀθάνατος,Ἀργεῖος,κεῖνος,κλέος,Ἀφροδίτη,ὁ,Ἅρπυιαι,ἀδαημονία,κομιδή|βίος,ἀρετή,Ἴλιος,βίος,Ὄλυμπος,κόρη,τέλος,Ζεύς,κόρη,Ἐρινύς,σύ,ὄρχατος,ὄρχατος
ταράσσω|βέλος,ἀγορά,γαῖα,λαός,ὅμαδος,ἐγώ,πατήρ,ἀγορά,Ζεύς,ἄελλα|ἐγκέφαλος,ἵππος,χαλκοῦς,μήτηρ,ἐπίηρα,φέρω,δαίς,νεφέλη,πόντος,τρίαινα,οὐρανός,πόντος
ἐπιρρέπω|ὅς,πόλεμος,ἀυτή,εὐκτός,ὄλεθρος|ναῦς,ἅλαδε,ἕλκω,ἐγώ
ἕλκω|ὁ,ὁ,ταῦρος,κοῦρος,ὁ,ὅς,πόλεμος,ἀυτή,εὐκτός,ὄλεθρος,ἐγώ,υἱός,ὁ,ἀλλήλων,ὁ,τεῦχος,Σαρπηδών,ὁ,τεῖχος,ἕκτωρ,νῶτον,ὁ,κονίσαλος,χαίτη,κάρα,ναῦς,νύξ,Τρώς,Ἀγαμέμνων,λίς,ὁ,ὀδύνη,υἱός,Μενέλαος,ὅσος,ὁ,Ἕκτωρ,Ἕκτωρ,Κρονίδης,ὁ,ἰκμάς,ἀλοιφή,πολύς,πᾶς,ὁ,ταῦρος,κοῦρος,ἵππος,ὅς,ὁ,Ἀθήνη,κῆρ,ὁ,γέρων,ἀμφίπολος,δόρυ,Ἀχαιός,ναῦς,ἡμίονος,Ἀλέξανδρος,ἵππος,ἡμίονος,Ἰδαῖος,φάος,ὁ,Ἰδομενεύς,ὁ,φώς,ὁ,φρήν,ἔρις,κυδοιμός,Κήρ,πατήρ,ὁ,ἠώς,ἀνήρ,βοῦς,ἰός,ἅπας,Ὀδυσσεύς,,ἄχος,κῆρ,ἐγώ,Ὀδυσσεύς|σθένος,ἐπισκύνιον,ὄσσε,θυμός,τένων,σφυρόν,πτέρνη,ἱμάς,δίφρος,κάρα,ἕλκω,ἵππος,Ἕκτωρ,ὁ,ναῦς,ἅλαδε,ἕλκω,ἐγώ,ναῦς,ἅλς,ἕλκω,ἅπτω,ναῦς,ἕλκω,ἅλς,οὐρός,φώς,ναῦς,ἅλς,ἕλκω,λαός,φώς,ναῦς,ἅλς,ἕλκω,ναῦς,ἅλαδε,ἕλκω,δόρυ,ἕ,ἔπαλξις,πολύς,κέλευθος,Πάτροκλος,τεῦχος,ὦμος,κεφαλή,νέκυς,κύων,ἐρύω,πᾶς,ἅλς,πόλεμος,ὁ,ἕ,χείρ,βέλος,πούς,χρώς,δίφρος,χάσκω,στόμα,ἅρμα,ἵππος,εἰμί,ἀγείρω,μέσος,ζωστήρ,ὀιστός,νειός,ἄροτρον,μιν,πούς,ἕλκω,Τρώς,ἕλκω,ὁ,ὅμιλος,γυῖον,ἐγώ,ὅς,γαῖα,χείρ,θυμός,τροχός,ἄναξ,πεδίον,οὗτος,κολεόν,ξίφος,οὐρανόθεν,ναῦς,λαός,κεφαλή,χαίτη,Ζεύς,θρίξ,κεφαλή,πύργος,ὅμιλος,ὁ,μιν,πόλεμος,ἅλς,χάρμη,μένος,ὄρος,δοκός,δόρυ,ὁ,τεῦχος,Ἀπισάων,τόξον,Εὐρύπυλος,μιν,μηρός,μιν,ναῦς,ἀπήνη,ὁ,Ὠκεανός,νύξ,ἄρουρα,πούς,ἄριστος,ἔγχος,χρώς,ἀσπίς,ὑσμίνη,γναθμός,ὀδούς,δόρυ,ἄντυξ,ἰχθύς,πόντος,θύραζε,στῆθος,χρώς,δόρυ,αὐτός,ὁ,ὑσμίνη,σφυρόν,Ἕκτωρ,Τρώς,ἄλλος,κρουνός,τάλαντον,μέσος,κόρυς,Ἀχαιός,γλυφίς,νεῦρον,ὁ,πούς,βέλος,τεῦχος,συλάω,κήρ,Ἕκτωρ,ἦτορ,ἵππος,μιν,ἔρις,ξίφος,δόρπον,ἄροτρον,ὁ,πῆχυς,νευρά,γλυφίς,ὀιστός,στειλειή,θύραζε,ἐγώ,ἐπιλλίζω,ἕλκω,κέλομαι,πρόθυρον,πούς,πῦρ,δίφρος,οὐλή,ναῦς,ἅλς,κτῆμα,γυνή,ἱστός,μεσόδμη,ἱστίον,ἱστός,μεσόδμη,πρότονοι,ἱστίον,βοεύς,ἥρως,πρόθυρον,θύραζε,οὖς,ῥίς,ἐγώ,δῶμα,θύραζε,πρόθυρον,πούς,αὐλή,θύρα
μενεαίνω|ὁ,ὁ,ὅδε,ἐγώ,ὁ,Ἥφαιστος,ἔγχος,Ἀχιλλεύς,ὁ,υἱός,Ἀχιλλεύς,ὁ,ὁ,βιός,νευρή,ὀιστός,Ἀπόλλων,ὅς,λέων,ἀγός,ὁ,λύσσα,σύ,Πρίαμος,παῖς,ὅς,μενεαίνω,ἐγώ,ἐγώ,μενεαίνω,θνήσκω,ὁράω,ξένος,γυνή,ἐγώ,Κίρκη,σύ,ἐγώ,ὁ,γέρων,ὕδωρ,γαῖα,δαίμων,ὁ,ὁ,ἄναξ,σύ,ἐγώ|ναῦς,πῦρ,βάλλω,κτείνω,ἥρως,ἀλέξω,θυμός,ἔπος,ναῦς,ἕρκος,ἀλέξω,ῥήγνυμι,Τρώς,δῶρον,ὁ,φώς,ὁ,κατακτείνω,κατακτείνω,ἄψ,δαίζω,ἔγχος,Ἀστεροπαῖος,κατακτείνω,μελία,Ἀστεροπαῖος,κατακτείνω,μιν,ἐρύω,βία,Ἕκτωρ,γαῖα,κατακτείνω,τόξον,ὅμιλος,ἐπιπέτομαι,κατακτείνω,ἀσπίς,λαός,Ἕκτωρ,ναῦς,ἐμπίμπρημι,ταῦρος,ἀγέλη,Πάτροκλος,ἑταῖρος,κῆρ,κῦδος,αἴρω,ἐγώ,εἰμί,σύ,κακός,ἐξαλαπάζω,πτολίεθρον,Ζεύς,χόλος,Τρώς,ὀπίσω,θεός,μάχομαι,ἐγώ,κτείνω,ὁ,ἐξέρχομαι,ἔνδοθεν,ὑπακούω,σύ,ξίφος,μηρός,Κίρκη,κτείνω,ἄορ,μηρός,Κίρκη,κτείνω,δάκρυον,ἐγώ,χείρ,ὀρέγω,πίνω,μιν,ἐρύω,βία,νευρή,σίδηρος,σύ,Ὀδυσσεύς,γαῖα,Ὀδυσσεύς,γαῖα,ἐρύκω,νέομαι,πόλινδε,εἶμι,λείπω
ἀπιθέω|Ἶρις,Νέστωρ,Γλαῦκος,Αἴας,ὅς,Ἥρα,Ἶρις,πατήρ,Μενέλαος,Μενέλαος,λέων,ὅς,ὅς,Ἀθήνη,πατήρ,̓ἀθήνη,Ἥρα,ὁ,τις,κῆρυξ,παῖς,Ἀγαμέμνων,Ἀγαμέμνων,κῆρυξ,ἕκτωρ,ὁ,Εὐρύκλεια,Ἀργειφόντης,ὁ|κώπη,χείρ,κολεόν,ξίφος,μῦθος,ὄρος,Ἴλιος,θεός,ὄρος,Ὄλυμπος,ὄρος,Ἴλιος,Δαναοί,μέσαυλος,κύων,ἀνήρ,ἐρεθίζω,μιν,πῖαρ,αἱρέω,κάρηνον,κάρηνον,κλισία,ἵππος,σύ,ὅδε,Ἀγαμέμνων,ἕ,τις,ἕ,θέω,τεῖχος,Αἴας,ἕ,εἶμι,λαός,Μαχάων,κασίγνητος,πῦρ,θήιον,ἕ,χαλκός,θύρα
σίζω|ὁ,ὀφθαλμός|
κορυφόω||πόντος,χέρσος,ἄκρα,ἄχνη
θέλγω|Ποσειδεών,τις,μήτηρ,ὅς,Ἀπόλλων,Τρώς,ὁ,ὅς,ὅστις,ὅς,γυνή,τέκνον,Σειρήν,θίς,ῥινός,θυγάτηρ,σύ,δαίμων,θαῦμα,κεῖνος,γόνυ,πᾶς,ὁ,Ἀθήνη,Ζεύς,ὁ,σύ,δαίμων,Ὀδυσσεύς,νόος|ῥάβδος,ὄμμα,ὅς,ὁ,ὁ,ὄσσε,γυῖον,ἐνωπή,θυμός,ἀλκή,ἐγώ,κιχάνω,νόος,Τρώς,Ἕκτωρ,κῦδος,λέων,ναῦς,ἐφετμή,μένος,θυμός,κῦδος,ὁ,Σειρήν,ἄνθρωπος,σφεῖς,φθόγγος,ὁ,οἴκαδε,δύστηνος,λόγος,Ἰθάκη,ἐγώ,ῥάβδος,ὄμμα,ὁ,ῥάβδος,ὄμμα,ὁ,ἐγώ,φάρμακον,ἐγώ,ἔρος,κλίνω,θέλγω,σύ,ἐγώ,ἔπος,ἦτορ,ὁ,ἄλοχος,ἔπος,σύ,ἐγώ,δῶρον,θυμός,ἄλλος
