,x,y,token,label
0,1.0933763,0.6346344,ως,non_medium
1,1.6801559,0.6166395,εν,non_medium
2,2.2869442,0.8819314,γαρ,non_medium
3,-0.45933938,0.12195849,ου,non_medium
4,1.0775174,-0.58917594,δη,non_medium
5,1.9129214,-0.18229741,επι,non_medium
6,1.0070838,0.10018318,μοι,non_medium
7,2.7219028,-0.6782416,επει,non_medium
8,1.1541817,0.02135955,μιν,non_medium
9,-0.39269993,-0.44061318,γε,non_medium
10,1.363569,-0.06548839,ενι,non_medium
11,0.27366772,-0.23418981,ουδε,non_medium
12,0.0051025534,-0.04149421,κατα,non_medium
13,-0.8878584,0.16274151,εκ,non_medium
14,0.46765748,-0.27380934,ες,non_medium
15,1.3494831,0.22279245,αρα,non_medium
16,3.1622322,-0.3775281,νυν,non_medium
17,1.5184135,-0.22205469,αρʼ,non_medium
18,1.336347,0.17146328,ος,non_medium
19,0.53252935,0.85028744,εγω,non_medium
20,0.2606241,-0.48323432,περ,non_medium
21,3.713236,1.7375597,κεν,non_medium
22,-2.4929795,-1.5898547,μη,non_medium
23,0.23595083,0.64552236,ουδʼ,non_medium
24,1.6587445,2.1853476,διος,non_medium
25,4.4425898,-3.2788856,κε,non_medium
26,3.0840137,-3.3677804,επʼ,non_medium
27,1.7919389,-3.5387537,οτε,non_medium
28,-0.35381594,-0.83960354,περι,non_medium
29,1.5605649,0.12498881,ουκ,non_medium
30,0.7072468,-0.68665886,συ,non_medium
31,2.0120423,-0.5982712,σε,non_medium
32,2.1758676,1.1935511,επειτα,non_medium
33,1.2038175,0.9560375,ηδε,non_medium
34,0.48359525,-0.54870105,οδυσσευς,non_medium
35,4.8678584,-0.5778612,απο,non_medium
36,5.408321,0.23549479,μαλα,non_medium
37,-0.91661686,-0.4158315,αχαιων,non_medium
38,1.6792393,-0.74453765,ανδρων,non_medium
39,-0.12205001,-0.45959434,ενθα,non_medium
40,1.5492414,0.4644481,αυτος,non_medium
41,3.6908858,-0.23240612,ρʼ,non_medium
42,2.6132607,-1.2407583,εις,non_medium
43,0.65108484,-1.6227268,αν,non_medium
44,-0.52965295,-0.65656936,μʼ,non_medium
45,0.2364253,-1.4398278,με,non_medium
46,2.5531006,2.2390966,μεγα,non_medium
47,1.7532018,1.510841,εξ,non_medium
48,1.4500927,2.7243617,ρα,non_medium
49,3.2306955,0.60287184,αι,non_medium
50,-0.7750021,0.43005717,παρα,non_medium
51,1.3478756,0.1692804,υπο,non_medium
52,2.2681491,1.1792363,πολλα,non_medium
53,0.13113764,-0.0019230713,θυμον,non_medium
54,-1.2637314,2.1324925,ει,non_medium
55,2.3490372,-0.38483775,παντα,non_medium
56,3.0519657,-0.6302599,ον,non_medium
57,1.4725447,-1.5249932,μετα,non_medium
58,0.66799486,0.114332184,προς,non_medium
59,2.2263331,0.9697279,αμφι,non_medium
60,3.8907328,-0.21393557,ζευς,non_medium
61,0.30632767,0.1381298,μεν,non_medium
62,2.0564635,-1.1081377,κʼ,non_medium
63,-0.15799847,-0.08082627,δια,non_medium
64,0.8908154,1.3282335,θυμῳ,non_medium
65,1.5330378,-0.17926024,ηε,non_medium
66,3.937069,-0.28081906,ην,non_medium
67,0.15473422,-0.2002169,ετι,non_medium
68,1.8750584,0.024053572,θυμος,non_medium
69,6.8689938,-0.4375131,οφρα,non_medium
70,-1.0031006,1.0966189,υιος,non_medium
71,0.7247746,-0.5766146,θʼ,non_medium
72,-1.0116227,-1.0319965,παντες,non_medium
73,-0.21941009,1.1658038,προσεφη,non_medium
74,0.67430925,0.26529405,συν,non_medium
75,-0.8542559,1.3324093,ηδʼ,non_medium
76,0.9006692,-2.252167,θεοι,non_medium
77,1.0113486,0.15475193,αθηνη,non_medium
78,2.4266396,1.0342302,αυτε,non_medium
79,-0.34894952,-0.07017974,εστι,non_medium
80,1.0000323,-2.8082647,φιλον,non_medium
81,-0.6424139,0.1584182,θεων,non_medium
82,2.7384658,3.6091833,ανηρ,non_medium
83,2.494408,0.5141082,πριν,non_medium
84,0.13416982,0.06581657,εφατʼ,medium
85,-0.2503898,-0.7517635,που,medium
86,0.8630117,0.58968115,ευ,non_medium
87,2.0360615,0.2296107,τοτε,non_medium
88,-0.1406726,0.7464057,γαιαν,non_medium
89,2.1730926,-0.78704065,αχαιοι,non_medium
90,1.7784246,-1.0210915,τρωων,non_medium
91,-0.69402546,0.09631693,εμοι,non_medium
92,2.2121499,-3.138745,αλλα,non_medium
93,0.014887479,-1.1447195,αυτου,medium
94,0.7745431,-0.85417885,τοι,non_medium
95,2.0341246,0.13615693,αυ,non_medium
96,5.372444,-1.8793038,μαλʼ,non_medium
97,-0.8982771,-1.1999906,αγε,non_medium
98,0.5338178,-0.09991119,αλλοι,non_medium
99,1.5817986,1.3382891,σʼ,non_medium
100,2.790505,-1.0700117,ενθʼ,non_medium
101,0.037671905,-0.80759573,νηας,non_medium
102,-0.5230177,2.0479968,φατο,medium
103,2.199261,0.28921223,επος,non_medium
104,2.6058187,-0.99862397,αιει,non_medium
