verb,label
ἀμφαγείρομαι,mp
καθικνέομαι,mp
ἀποδέχομαι,mp
μεταπαύομαι,mp
ὀκριάομαι,mp
γουνόομαι,mp
διικνέομαι,mp
ἀμφιπέλομαι,mp
δειδίσσομαι,mp
βροτόομαι,mp
πάομαι,mp
ἔρομαι,mp
προκυλίνδομαι,mp
σέβομαι,mp
ἐκσεύομαι,mp
πυνθάνομαι,mp
ἕζομαι,mp
πωλέομαι,mp
ὑποκύομαι,mp
μετασσεύομαι,mp
οἰνίζομαι,mp
προτιόσσομαι,mp
κατεφάλλομαι,mp
προπροκυλίνδομαι,mp
ἀμφινέμομαι,mp
χερνίπτομαι,mp
ὀδύρομαι,mp
ὑπεροπλίζομαι,mp
ἐκποτάομαι,mp
ὑποσταχύομαι,mp
ἔραμαι,mp
βρυχάομαι,mp
ἀπονέομαι,mp
ὅπλομαι,mp
ἀγοράομαι,mp
παλιμπλάζομαι,mp
ἀρνέομαι,mp
λαβρεύομαι,mp
ἐπιπέτομαι,mp
καθέζομαι,mp
δειδίσκομαι,mp
ἐξέρχομαι,mp
ἐνέζομαι,mp
εἰσδέρκομαι,mp
ἐκκαταπάλλομαι,mp
ἐξικνέομαι,mp
κτάομαι,mp
σίνομαι,mp
ἀναμαιμάω,mp
ἐρέπτομαι,mp
ὑπερικταίνομαι,mp
τετίημαι,mp
ἀμφιμυκάομαι,mp
ἐξοίχομαι,mp
ἄφημαι,mp
ἀμφιπονέομαι,mp
κατεναίρομαι,mp
δέρκομαι,mp
διασεύομαι,mp
περισείομαι,mp
ἀπομυθέομαι,mp
ἀκέομαι,mp
τεχνάομαι,mp
λάζομαι,mp
ἐφεψιάομαι,mp
λελίημαι,mp
ἐποχέομαι,mp
ῥώομαι,mp
ὑπολευκαίνομαι,mp
ἀπολυμαίνομαι,mp
ἐπικέλομαι,mp
ἀπεκλανθάνομαι,mp
εἰσμαίομαι,mp
ἐκδέχομαι,mp
θεάομαι,mp
σκηρίπτομαι,mp
ἐποπίζομαι,mp
εὐχετάομαι,mp
μηκάομαι,mp
ὑποκλονέομαι,mp
δράσσομαι,mp
μετακλίνομαι,mp
κίνυμαι,mp
προγίγνομαι,mp
περιπέλομαι,mp
μετατρέπομαι,mp
κέλομαι,mp
περιτρέφομαι,mp
ἀπαναίνομαι,mp
προσπίλναμαι,mp
μήδομαι,mp
προσδέχομαι,mp
ἀπέχθομαι,mp
ἐμβρέμομαι,mp
ὑποκρίνομαι,mp
διείρομαι,mp
φείδομαι,mp
καταλήθομαι,mp
ἐκγίγνομαι,mp
περιμηχανάομαι,mp
πάρημαι,mp
ὑπέρχομαι,mp
ἐπίσταμαι,mp
δίζημαι,mp
ὑπεξαναδύομαι,mp
παρατεκταίνομαι,mp
χώομαι,mp
οἴχομαι,mp
ἱκνέομαι,mp
ἕπομαι,mp
ἐπιπέλομαι,mp
μυκάομαι,mp
ποτινίσσομαι,mp
ῥυπόομαι,mp
μαιμάω,mp
μαντεύομαι,mp
συνάντομαι,mp
ῥύομαι,mp
εἰσέρχομαι,mp
ἐπιμέμφομαι,mp
τίνυμαι,mp
ἀποχάζομαι,mp
ποτάομαι,mp
ἀσπάζομαι,mp
ἐφέζομαι,mp
ὀλοφύρομαι,mp
παραμυθέομαι,mp
ἰδνόομαι,mp
πένομαι,mp
ἑψιάομαι,mp
ἐπαγάλλομαι,mp
ἀποδατέομαι,mp
κίδναμαι,mp
ὄρομαι,mp
ἐπέρχομαι,mp
ἀμφιποτάομαι,mp
διέρχομαι,mp
πέπνυμαι,mp
ἐνῆμαι,mp
ἐρεύγομαι,mp
ὄθομαι,mp
ὑπίσχομαι,mp
πρόκειμαι,mp
ἐπιόσσομαι,mp
ἀμφιμαίομαι,mp
ἀλέομαι,mp
εἰσίζομαι,mp
πιμπλάνομαι,mp
ἀνασεύομαι,mp
νίσσομαι,mp
νέομαι,mp
παραδύομαι,mp
ἀμφράζομαι,mp
ἰάομαι,mp
ἐπιμαίνομαι,mp
ὀρχέομαι,mp
διεξερέομαι,mp
συναίνυμαι,mp
μετατροπαλίζομαι,mp
ἀποκαίνυμαι,mp
ἁλίσκομαι,mp
ἀναδέρκομαι,mp
κατασεύομαι,mp
δατέομαι,mp
καθεψιάομαι,mp
ἅλλομαι,mp
περιφράζομαι,mp
πατέομαι,mp
κτέομαι,mp
μείρομαι,mp
δείλομαι,mp
ἠερέθομαι,mp
ἀμφέρχομαι,mp
ἀνέρχομαι,mp
μάχομαι,mp
αἴνυμαι,mp
πεύθομαι,mp
κατέρχομαι,mp
ἐπιπλάζομαι,mp
ληίζομαι,mp
δίεμαι,mp
ἄχθομαι,mp
πέτομαι,mp
κατάνομαι,mp
οἰόομαι,mp
ἀγαίομαι,mp
περιτέλλομαι,mp
τιτύσκομαι,mp
ἐπιπωλέομαι,mp
λωβάομαι,mp
ἀπονίναμαι,mp
μετασεύομαι,mp
ἐξαπονέομαι,mp
ἀμφιφοβέομαι,mp
οἴομαι,mp
ἐφικνέομαι,mp
ἴπτομαι,mp
ἐπεύχομαι,mp
πωτάομαι,mp
δύναμαι,mp
ἄντομαι,mp
εὔχομαι,mp
ἐξαίνυμαι,mp
μετοίχομαι,mp
ὄνομαι,mp
ἀνανέομαι,mp
ἐπιδεύομαι,mp
ἐκπροκαλέομαι,mp
μεταδαίνυμαι,mp
παρανήχομαι,mp
παρεξέρχομαι,mp
ἀνέρομαι,mp
μωμάομαι,mp
βιώσκομαι,mp
παραγίγνομαι,mp
ἐπιπίλναμαι,mp
ἐπιπείθομαι,mp
παροίχομαι,mp
σιτέομαι,mp
προσδέρκομαι,mp
τεκταίνομαι,mp
χαρίζομαι,mp
μέλδομαι,mp
ἀκουάζομαι,mp
μεγαλίζομαι,mp
ἀράομαι,mp
ἔφημαι,mp
ἄγαμαι,mp
εἰσάλλομαι,mp
ἐξέρομαι,mp
καθάλλομαι,mp
μάρναμαι,mp
περιφύομαι,mp
ὑποδέχομαι,mp
ἐφάλλομαι,mp
ἅζομαι,mp
αἰδέομαι,mp
ἀλάομαι,mp
προσερεύγομαι,mp
ἀπαμείβομαι,mp
δέχομαι,mp
μιγάζομαι,mp
αἰτιάομαι,mp
ἐπιτοξάζομαι,mp
ἐρχατάομαι,mp
παρευνάζομαι,mp
δυσωρέομαι,mp
διαπέταμαι,mp
ἐντροπαλίζομαι,mp
εἰσαφικνέομαι,mp
ἀναδέχομαι,mp
ἀπεχθάνομαι,mp
συμφράζομαι,mp
ἧμαι,mp
ἐργάζομαι,mp
ἐξηγέομαι,mp
ὄσσομαι,mp
περιστεναχίζομαι,mp
ὑποδύομαι,mp
εἴδομαι,mp
στρεύγομαι,mp
ἀνέζομαι,mp
συμμητιάομαι,mp
ἀλεόμαι,mp
δηλέομαι,mp
τέρσομαι,mp
μνάομαι,mp
ἀναίνομαι,mp
περίκειμαι,mp
σεβάζομαι,mp
δηριάομαι,mp
