verb|occurrences|noun|verb|adjective|adverb|article|particle|conjunction|preposition|pronoun|numeral|interjection|punctuation|present|imperfect|pluperfect|perfect|futPerfect|future|aorist|indicative|subjunctive|optative|infinitive|imperative|participle|active|passive|middle|mediopassive|nom|gen|dat|acc|voc|loc|class
|9191|0.02156|0.04121|0.01804|0.00266|0.0|0.00033|0.00031|0.00067|0.00121|0.00015|3e-05|1e-05|0.01314|0.00537|0.00057|0.00224|7e-05|0.0026|0.01719|0.0209|0.0035|0.0023|0.00393|0.00178|0.0088|0.02711|0.0013|0.00446|0.00798|0.01791|0.007|0.0087|0.01527|0.00068|0.0|
ἀμφιπονέομαι|5|0.13333|0.04|0.06667|0.04|0.0|0.01333|0.01333|0.02667|0.01333|0.0|0.0|0.0|0.01333|0.02667|0.0|0.0|0.0|0.0|0.0|0.02667|0.0|0.0|0.0|0.0|0.01333|0.02667|0.0|0.0|0.01333|0.04|0.01333|0.09333|0.08|0.0|0.0|
σκάζω|4|0.1|0.08333|0.1|0.0|0.0|0.0|0.0|0.03333|0.0|0.01667|0.0|0.0|0.0|0.01667|0.0|0.01667|0.0|0.0|0.05|0.06667|0.0|0.0|0.0|0.0|0.01667|0.05|0.01667|0.0|0.01667|0.11667|0.05|0.01667|0.03333|0.0|0.0|
ὑπεξάγω|3|0.02222|0.04444|0.06667|0.06667|0.0|0.0|0.02222|0.02222|0.02222|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04444|0.0|0.0|0.04444|0.0|0.0|0.0|0.04444|0.0|0.0|0.0|0.02222|0.0|0.02222|0.06667|0.0|0.0|
πλέω|72|0.06944|0.05833|0.05093|0.02315|0.0|0.00833|0.00833|0.01111|0.00926|0.00278|0.00093|0.0|0.01389|0.01019|0.0|0.00833|0.0|0.00093|0.025|0.03241|0.00278|0.00093|0.0037|0.0|0.01852|0.04259|0.00185|0.0037|0.01019|0.05|0.02315|0.02593|0.04815|0.00093|0.0|
ὑφίημι|2|0.23333|0.1|0.03333|0.03333|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.0|0.0|0.16667|0.1|0.0|0.0|
παραλέγω|19|0.11228|0.07719|0.06667|0.00702|0.0|0.01754|0.01053|0.01053|0.01404|0.01053|0.0|0.0|0.02105|0.01754|0.0|0.00351|0.0|0.00351|0.03158|0.0386|0.0|0.00351|0.0|0.0|0.03509|0.04912|0.00351|0.00702|0.01404|0.10526|0.02807|0.03509|0.05263|0.00702|0.0|
ἴσχω|76|0.06667|0.07281|0.04912|0.02719|0.0|0.00965|0.00614|0.0114|0.01579|0.0|0.00088|0.0|0.03421|0.01579|0.0|0.00439|0.0|0.00351|0.01491|0.03947|0.00351|0.0|0.00789|0.00439|0.01754|0.05526|0.00175|0.00351|0.01228|0.05088|0.02719|0.02018|0.04737|0.00351|0.0|
ἀλέγω|27|0.0642|0.0642|0.05679|0.02716|0.0|0.00988|0.01975|0.00988|0.02963|0.0|0.0|0.0|0.02469|0.00247|0.0|0.01235|0.0|0.0|0.02469|0.03951|0.00247|0.00247|0.00247|0.0|0.01728|0.04444|0.00247|0.00247|0.01481|0.06173|0.04198|0.02222|0.04198|0.0|0.0|
ἐξαφύω|3|0.06667|0.04444|0.02222|0.04444|0.0|0.02222|0.0|0.0|0.0|0.0|0.0|0.0|0.02222|0.02222|0.0|0.0|0.0|0.0|0.0|0.04444|0.0|0.0|0.0|0.0|0.0|0.04444|0.0|0.0|0.0|0.02222|0.0|0.0|0.06667|0.0|0.0|
ἐπαλάομαι|12|0.03889|0.05|0.02222|0.03889|0.0|0.01667|0.01667|0.00556|0.01111|0.0|0.0|0.0|0.01111|0.0|0.0|0.0|0.0|0.01111|0.02778|0.03889|0.00556|0.0|0.0|0.0|0.00556|0.03333|0.0|0.01111|0.00556|0.03889|0.0|0.02222|0.01667|0.0|0.0|
κατακτείνω|133|0.06717|0.07368|0.04912|0.01754|0.0|0.00852|0.00802|0.01303|0.01353|0.0015|0.0005|0.0005|0.02256|0.00351|0.001|0.00501|0.0|0.00251|0.0391|0.03358|0.00501|0.00602|0.00902|0.00201|0.01805|0.05163|0.00251|0.01003|0.00952|0.04762|0.02206|0.02657|0.05013|0.0015|0.0|
ὑποκρύπτω|2|0.2|0.1|0.1|0.0|0.0|0.0|0.0|0.03333|0.0|0.0|0.0|0.0|0.06667|0.0|0.0|0.0|0.0|0.0|0.03333|0.06667|0.03333|0.0|0.0|0.0|0.0|0.06667|0.0|0.0|0.03333|0.1|0.06667|0.1|0.03333|0.0|0.0|
δακρύω|38|0.08246|0.06491|0.05263|0.01404|0.0|0.00702|0.00877|0.01404|0.01404|0.0|0.0|0.0|0.01053|0.01754|0.00175|0.00702|0.0|0.0|0.02807|0.04386|0.0|0.0|0.00351|0.0|0.01754|0.04912|0.0|0.00351|0.00877|0.06491|0.00877|0.03158|0.05965|0.0|0.0|
ἀνίστημι|181|0.06041|0.06814|0.04236|0.01731|0.0|0.00626|0.00516|0.00958|0.00847|0.00037|0.00037|0.00037|0.0151|0.01547|0.00037|0.00184|0.0|0.00331|0.03204|0.03794|0.00479|0.00258|0.00479|0.00331|0.01473|0.04788|0.00221|0.00921|0.0081|0.04346|0.01989|0.02063|0.04088|0.0011|0.0|
διέχω|6|0.16667|0.08889|0.06667|0.03333|0.0|0.0|0.0|0.04444|0.01111|0.0|0.0|0.0|0.0|0.03333|0.0|0.0|0.0|0.0|0.05556|0.07778|0.0|0.0|0.0|0.0|0.01111|0.05556|0.0|0.01111|0.02222|0.11111|0.06667|0.01111|0.06667|0.0|0.0|
δειδίσσομαι|14|0.04286|0.07619|0.05714|0.04286|0.0|0.02381|0.02381|0.00952|0.02381|0.00476|0.0|0.00476|0.01905|0.01429|0.0|0.01429|0.0|0.0|0.02857|0.04762|0.0|0.0|0.00476|0.01905|0.00476|0.04762|0.00476|0.00952|0.01429|0.02857|0.00952|0.01905|0.06667|0.00476|0.0|
ὑπάγω|11|0.09697|0.05455|0.07273|0.01212|0.0|0.01212|0.00606|0.0303|0.01212|0.0|0.0|0.0|0.00606|0.02424|0.0|0.0|0.0|0.0|0.02424|0.04242|0.0|0.0|0.00606|0.0|0.00606|0.04242|0.0|0.00606|0.0|0.05455|0.02424|0.0303|0.07879|0.0|0.0|
ἵστημι|865|0.06019|0.06119|0.0447|0.01079|0.0|0.00193|0.00154|0.00455|0.00493|0.00069|8e-05|8e-05|0.01588|0.01187|0.00146|0.00324|0.0|0.00123|0.02744|0.03391|0.0017|0.00193|0.00355|0.00146|0.01865|0.04416|0.00231|0.00563|0.00902|0.04293|0.01742|0.02343|0.04239|0.00231|0.0|
ἐξάρχω|21|0.08571|0.07302|0.07302|0.01587|0.0|0.01587|0.00317|0.0127|0.0127|0.0|0.00317|0.0|0.0127|0.0254|0.0|0.00317|0.0|0.00317|0.02857|0.04444|0.00317|0.0|0.00317|0.00635|0.01587|0.04444|0.00317|0.00635|0.01905|0.05397|0.04127|0.01905|0.06349|0.00952|0.0|
ἀτασθάλλω|3|0.04444|0.04444|0.04444|0.04444|0.0|0.0|0.0|0.0|0.04444|0.0|0.0|0.0|0.02222|0.0|0.0|0.0|0.0|0.0|0.02222|0.0|0.02222|0.0|0.0|0.0|0.02222|0.04444|0.0|0.0|0.0|0.02222|0.0|0.06667|0.06667|0.0|0.0|
δείξω|2|0.03333|0.06667|0.03333|0.13333|0.0|0.03333|0.03333|0.03333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.06667|0.03333|0.0|0.0|0.03333|0.0|0.0|0.06667|0.0|0.0|0.0|0.0|0.0|0.0|0.06667|0.0|0.0|
προσαμύνω|6|0.07778|0.12222|0.02222|0.04444|0.0|0.03333|0.03333|0.01111|0.04444|0.0|0.01111|0.0|0.02222|0.03333|0.0|0.0|0.0|0.0|0.06667|0.07778|0.01111|0.0|0.01111|0.0|0.02222|0.05556|0.01111|0.02222|0.03333|0.06667|0.02222|0.01111|0.06667|0.0|0.0|
φθονέω|17|0.04706|0.07843|0.04706|0.01176|0.0|0.02353|0.01176|0.00392|0.03137|0.0|0.0|0.00392|0.04314|0.00392|0.0|0.00784|0.0|0.00392|0.01961|0.03922|0.00784|0.0|0.01961|0.00392|0.00784|0.05098|0.0|0.00784|0.01961|0.03137|0.02745|0.01569|0.04706|0.01176|0.0|
ἀγρώσσω|3|0.08889|0.06667|0.11111|0.0|0.0|0.0|0.0|0.02222|0.02222|0.0|0.0|0.0|0.02222|0.0|0.0|0.02222|0.0|0.0|0.02222|0.04444|0.0|0.0|0.0|0.0|0.02222|0.02222|0.0|0.02222|0.02222|0.06667|0.04444|0.02222|0.11111|0.0|0.0|
καθιδρύω|3|0.06667|0.06667|0.06667|0.0|0.0|0.0|0.0|0.04444|0.0|0.0|0.0|0.0|0.04444|0.02222|0.0|0.0|0.0|0.0|0.0|0.02222|0.0|0.0|0.0|0.0|0.04444|0.04444|0.0|0.0|0.02222|0.04444|0.04444|0.0|0.08889|0.0|0.0|
ἀμφιβαίνω|24|0.08333|0.05278|0.03889|0.03611|0.0|0.00556|0.01667|0.01111|0.01667|0.0|0.0|0.0|0.02222|0.01111|0.0|0.00556|0.0|0.00278|0.01111|0.03611|0.00278|0.0|0.00278|0.00833|0.00278|0.03611|0.0|0.0|0.01667|0.05|0.03056|0.025|0.03056|0.00556|0.0|
προσπελάζω|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
τρίβω|7|0.07619|0.08571|0.07619|0.00952|0.0|0.00952|0.01905|0.01905|0.02857|0.0|0.0|0.0|0.01905|0.01905|0.0|0.0|0.0|0.0|0.04762|0.02857|0.00952|0.01905|0.0|0.00952|0.01905|0.06667|0.0|0.0|0.01905|0.09524|0.0|0.04762|0.05714|0.0|0.0|
ἐξοιχνέω|2|0.1|0.06667|0.13333|0.0|0.0|0.0|0.03333|0.03333|0.03333|0.0|0.0|0.0|0.06667|0.0|0.0|0.0|0.0|0.0|0.0|0.06667|0.0|0.0|0.0|0.0|0.0|0.03333|0.0|0.0|0.03333|0.1|0.0|0.1|0.06667|0.0|0.0|
ὑπερθρῴσκω|2|0.13333|0.0|0.06667|0.06667|0.0|0.06667|0.03333|0.03333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03333|0.0|0.03333|0.13333|0.0|0.0|
πταίρω|3|0.04444|0.06667|0.02222|0.04444|0.0|0.0|0.0|0.02222|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02222|0.04444|0.06667|0.0|0.0|0.0|0.0|0.0|0.02222|0.0|0.02222|0.0|0.0|0.0|0.0|0.06667|0.0|0.0|
ἐπισπέρχω|5|0.10667|0.06667|0.09333|0.06667|0.0|0.0|0.01333|0.0|0.01333|0.0|0.0|0.0|0.02667|0.01333|0.0|0.01333|0.0|0.0|0.01333|0.04|0.0|0.0|0.0|0.0|0.02667|0.06667|0.0|0.0|0.0|0.06667|0.04|0.06667|0.06667|0.0|0.0|
εἰσφορέω|6|0.13333|0.03333|0.03333|0.03333|0.0|0.0|0.0|0.01111|0.01111|0.0|0.0|0.0|0.01111|0.01111|0.0|0.0|0.0|0.0|0.01111|0.02222|0.0|0.0|0.0|0.0|0.01111|0.02222|0.0|0.01111|0.0|0.03333|0.03333|0.02222|0.1|0.0|0.0|
προσάπτω|2|0.1|0.06667|0.06667|0.06667|0.0|0.0|0.03333|0.0|0.06667|0.0|0.0|0.0|0.06667|0.0|0.0|0.0|0.0|0.0|0.0|0.03333|0.0|0.0|0.0|0.0|0.03333|0.06667|0.0|0.0|0.0|0.06667|0.0|0.0|0.2|0.0|0.0|
τιτρώσκω|13|0.07179|0.07692|0.04103|0.01538|0.0|0.02051|0.0|0.01026|0.02564|0.0|0.0|0.0|0.04615|0.0|0.0|0.0|0.0|0.0|0.03077|0.03077|0.01026|0.0|0.02051|0.0|0.01538|0.05128|0.01026|0.00513|0.01026|0.07179|0.02051|0.01026|0.05128|0.0|0.0|
ἀλυσκάζω|7|0.04762|0.06667|0.05714|0.04762|0.0|0.02857|0.01905|0.01905|0.04762|0.0|0.0|0.0|0.02857|0.0|0.0|0.00952|0.0|0.00952|0.01905|0.02857|0.0|0.00952|0.02857|0.0|0.0|0.04762|0.0|0.0|0.01905|0.04762|0.01905|0.00952|0.07619|0.0|0.0|
τίω|113|0.06313|0.04425|0.05664|0.02006|0.0|0.0059|0.00767|0.00944|0.01416|0.00177|0.0|0.00059|0.01947|0.0059|0.00177|0.00118|0.0|0.00059|0.01534|0.02773|0.00118|0.00236|0.00295|0.00177|0.00826|0.03186|0.00177|0.00118|0.00826|0.04189|0.02183|0.03245|0.04425|0.00177|0.0|
ἐνδίημι|2|0.2|0.1|0.1|0.03333|0.0|0.03333|0.0|0.0|0.0|0.0|0.0|0.0|0.03333|0.03333|0.0|0.0|0.0|0.0|0.03333|0.03333|0.0|0.0|0.03333|0.0|0.03333|0.1|0.0|0.0|0.0|0.1|0.06667|0.0|0.16667|0.0|0.0|
παριαύω|2|0.03333|0.13333|0.03333|0.0|0.0|0.0|0.0|0.03333|0.06667|0.0|0.0|0.03333|0.13333|0.0|0.0|0.0|0.0|0.0|0.0|0.06667|0.0|0.0|0.03333|0.03333|0.0|0.1|0.0|0.0|0.03333|0.0|0.06667|0.0|0.06667|0.0|0.0|
ὑποδέχομαι|39|0.06667|0.05812|0.04274|0.01709|0.0|0.00684|0.01026|0.01197|0.01368|0.0|0.0|0.00171|0.0188|0.01368|0.0|0.00171|0.0|0.0|0.02393|0.03248|0.00342|0.00342|0.00171|0.0|0.01709|0.04444|0.00171|0.00513|0.00684|0.05299|0.01709|0.01538|0.05299|0.00171|0.0|
